register;register_hex;in_main;in_display;main_name;display_name;main_type;display_type;main_unit;display_unit;main_mode;display_mode;main_function;display_function;main_block;display_block;main_code;display_code;main_value_map;display_value_map;main_bit_map;display_bit_map;main_notes;display_notes;differences;classification;remark
200;0x00C8;yes;no;Interner HMI-Kommunikationsblock / Kennung Wort 1 / ASCII Zeichen 1-2;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
201;0x00C9;yes;no;Interner HMI-Kommunikationsblock / Kennung Wort 2 / ASCII Zeichen 3-4;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
202;0x00CA;yes;no;Interner HMI-Kommunikationsblock / Kennung Wort 3 / ASCII Zeichen 5-6;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
203;0x00CB;yes;no;Interner HMI-Kommunikationsblock / Kennung Wort 4 / ASCII Zeichen 7-8;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
204;0x00CC;yes;no;Interner HMI-Kommunikationsblock / Kennung Wort 5 / ASCII Zeichen 9-10;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
205;0x00CD;yes;no;Interner HMI-Kommunikationsblock / Kennung Wort 6 / ASCII Zeichen 11-12;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
206;0x00CE;yes;no;Interner HMI-Kommunikationsblock / Reserve;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
207;0x00CF;yes;no;Interner HMI-Kommunikationsblock / Reserve;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
208;0x00D0;yes;no;Interner HMI-Kommunikationsblock / Reserve;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
209;0x00D1;yes;no;Interner HMI-Kommunikationsblock / Reserve;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
210;0x00D2;yes;no;Interner HMI-Kommunikationsblock / Reserve;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
211;0x00D3;yes;no;Interner HMI-Kommunikationsblock / Reserve;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
212;0x00D4;yes;no;Interner HMI-Kommunikationsblock / Reserve;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
213;0x00D5;yes;no;Interner HMI-Kommunikationsblock / Reserve;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
214;0x00D6;yes;no;Interner HMI-Kommunikationsblock / Reserve;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
215;0x00D7;yes;no;Interner HMI-Kommunikationsblock / Reserve;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1001;0x03E9;yes;no;Blockkopf Paket 1 / Kennung Wort 1 / WiFi Barcode ASCII Zeichen 1-2;;BLOCK;;;;read;;03;;;;;;;;;;"Teil der WiFi-Barcode-/Warmlink-Modulkennung; Blockkopf/Kennung bleibt ebenfalls gültig. Nicht als Geräte-Serial-No. interpretieren.";;;MAIN_ONLY;Register exists only in main mapping.
1002;0x03EA;yes;no;Blockkopf Paket 1 / Kennung Wort 2 / WiFi Barcode ASCII Zeichen 3-4;;BLOCK;;;;read;;03;;;;;;;;;;"Teil der WiFi-Barcode-/Warmlink-Modulkennung; Blockkopf/Kennung bleibt ebenfalls gültig. Nicht als Geräte-Serial-No. interpretieren.";;;MAIN_ONLY;Register exists only in main mapping.
1003;0x03EB;yes;no;Blockkopf Paket 1 / Kennung Wort 3 / WiFi Barcode ASCII Zeichen 5-6;;BLOCK;;;;read;;03;;;;;;;;;;"Teil der WiFi-Barcode-/Warmlink-Modulkennung; Blockkopf/Kennung bleibt ebenfalls gültig. Nicht als Geräte-Serial-No. interpretieren.";;;MAIN_ONLY;Register exists only in main mapping.
1004;0x03EC;yes;no;Blockkopf Paket 1 / Kennung Wort 4 / WiFi Barcode ASCII Zeichen 7-8;;BLOCK;;;;read;;03;;;;;;;;;;"Teil der WiFi-Barcode-/Warmlink-Modulkennung; Blockkopf/Kennung bleibt ebenfalls gültig. Nicht als Geräte-Serial-No. interpretieren.";;;MAIN_ONLY;Register exists only in main mapping.
1005;0x03ED;yes;no;Blockkopf Paket 1 / Kennung Wort 5 / WiFi Barcode ASCII Zeichen 9-10;;BLOCK;;;;read;;03;;;;;;;;;;"Teil der WiFi-Barcode-/Warmlink-Modulkennung; Blockkopf/Kennung bleibt ebenfalls gültig. Nicht als Geräte-Serial-No. interpretieren.";;;MAIN_ONLY;Register exists only in main mapping.
1006;0x03EE;yes;no;Blockkopf Paket 1 / Kennung Wort 6 / WiFi Barcode ASCII Zeichen 11-12;;BLOCK;;;;read;;03;;;;;;;;;;"Teil der WiFi-Barcode-/Warmlink-Modulkennung; Blockkopf/Kennung bleibt ebenfalls gültig. Nicht als Geräte-Serial-No. interpretieren.";;;MAIN_ONLY;Register exists only in main mapping.
1007;0x03EF;yes;no;Blockkopf Paket 1 / Kennung Wort 7 / WiFi Barcode ASCII Reserve/Ende;;BLOCK;;;;read;;03;;;;;;;;;;"Teil der WiFi-Barcode-/Warmlink-Modulkennung; Blockkopf/Kennung bleibt ebenfalls gültig. Nicht als Geräte-Serial-No. interpretieren.";;;MAIN_ONLY;Register exists only in main mapping.
1008;0x03F0;yes;no;Blockkopf Paket 1 / Reserve 2;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1009;0x03F1;yes;no;Blockkopf Paket 1 / Marker-Länge;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1010;0x03F2;yes;no;Blockkopf Paket 1 / erstes Blockkopf-Register;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1011;0x03F3;yes;no;AN/AUS;;DIGI1;;;;r/w;;03/16;;;;;;"{""0"":""Aus"",""1"":""Ein""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1012;0x03F4;yes;no;Modus setzen;;MODE_0_4;;;;r/w;;03/16;;;;;;"{""0"":""Warmwasser"",""1"":""Heizen"",""2"":""Kühlen"",""3"":""Warmwasser + Heizen"",""4"":""Warmwasser + Kühlen""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1013;0x03F5;yes;no;Wassertanktemperatur (vom Zentralregler bei H37-1);;TEMP1;;;;r/w;;06;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
